code	main_type	name	tissue
IDC	Breast Cancer	Breast Invasive Ductal Carcinoma	Breast
IDCS	Soft Tissue Sarcoma	Interdigitating Dendritic Cell Sarcoma	Myeloid
IDCT	Histiocytosis	Indeterminate Dendritic Cell Tumor	Myeloid
IHCH	Hepatobiliary Cancer	Intrahepatic Cholangiocarcinoma	Biliary Tract
IHM	Gestational Trophoblastic Disease	Invasive Hydatidiform Mole	Uterus
ILC	Breast Cancer	Breast Invasive Lobular Carcinoma	Breast
IMMC	Breast Cancer	Breast Invasive Mixed Mucinous Carcinoma	Breast
IMPTLD	Posttransplant Lymphoproliferative Disorders	Infectious Mononucleosis PTLD	Lymphoid
IMT	Soft Tissue Sarcoma	Inflammatory Myofibroblastic Tumor	Soft Tissue
IMTB	Bladder Cancer	Inflammatory Myofibroblastic Bladder Tumor	Bladder/Urinary Tract
IMTL	Non-Small Cell Lung Cancer	Inflammatory Myofibroblastic Lung Tumor	Lung
INTS	Soft Tissue Sarcoma	Intimal Sarcoma	Soft Tissue
IPMN	Pancreatic Cancer	Intraductal Papillary Mucinous Neoplasm	Pancreas
ISFN	Mature B-Cell Neoplasms	In Situ Follicular Neoplasia	Lymphoid
ISM	Mastocytosis	Indolent Systemic Mastocytosis	Myeloid
ISMCL	Mature B-Cell Neoplasms	In Situ Mantle Cell Neoplasia	Lymphoid
ISTAD	Esophagogastric Cancer	Intestinal Type Stomach Adenocarcinoma	Esophagus/Stomach
ITLPDGI	Mature T and NK Neoplasms	Indolent T-Cell Lymphoproliferative Disorder of the GI Tract	Lymphoid
IUP	Bladder Cancer	Inverted Urothelial Papilloma	Bladder/Urinary Tract
IVBCL	Mature B-Cell Neoplasms	Intravascular Large B-Cell Lymphoma	Lymphoid
JMML	Myelodysplastic/Myeloproliferative Neoplasms	Juvenile Myelomonocytic Leukemia	Myeloid
JSCB	Breast Cancer	Juvenile Secretory Carcinoma of the Breast	Breast
JXG	Histiocytosis	Disseminated Juvenile Xanthogranuloma	Myeloid
KIDNEY	Kidney Cancer, NOS	Kidney	Kidney
LAIS	Non-Small Cell Lung Cancer	Lung Adenocarcinoma In Situ	Lung
LAM	Non-Small Cell Lung Cancer	Pulmonary Lymphangiomyomatosis	Lung
LATL	Lymphatic Cancer, NOS	Lymphoid Atypical	Lymphoid
LBGN	Lymphatic Cancer, NOS	Lymphoid Benign	Lymphoid
LBLIRF4	Mature B-Cell Neoplasms	Large B-Cell Lymphoma with IRF4 Rearrangement	Lymphoid
LCH	Histiocytosis	Langerhans Cell Histiocytosis	Myeloid
LCIS	Breast Cancer	Breast Lobular Carcinoma In Situ	Breast
LCLC	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	Lung
LCS	Histiocytosis	Langerhans Cell Sarcoma	Myeloid
LDCHL	Hodgkin Lymphoma	Lymphocyte-Depleted Classical Hodgkin Lymphoma	Lymphoid
LDD	Miscellaneous Neuroepithelial Tumor	Dysplastic Gangliocytoma of the Cerebellum/Lhermitte-Duclos Disease	CNS/Brain
LECLC	Non-Small Cell Lung Cancer	Lymphoepithelioma-like Carcinoma of the Lung	Lung
LGCOS	Bone Cancer	Low-Grade Central Osteosarcoma	Bone
LGESS	Uterine Sarcoma	Low-Grade Endometrial Stromal Sarcoma	Uterus
LGFMS	Soft Tissue Sarcoma	Low-Grade Fibromyxoid Sarcoma	Soft Tissue
LGGNOS	Glioma	Low-Grade Glioma, NOS	CNS/Brain
LGNET	Miscellaneous Brain Tumor	Low-Grade Neuroepithelial Tumor	CNS/Brain
LGSOC	Ovarian Cancer	Low-Grade Serous Ovarian Cancer	Ovary/Fallopian Tube
LIAD	Hepatobiliary Cancer	Hepatocellular Adenoma	Liver
LIAS	Hepatobiliary Cancer	Liver Angiosarcoma	Liver
LIHB	Hepatobiliary Cancer	Hepatoblastoma	Liver
LIMNET	Hepatobiliary Cancer	Malignant Nonepithelial Tumor of the Liver	Liver
LIPO	Soft Tissue Sarcoma	Liposarcoma	Soft Tissue
LIVER	Liver Cancer, NOS	Liver	Liver
LMS	Soft Tissue Sarcoma	Leiomyosarcoma	Soft Tissue
LNET	Non-Small Cell Lung Cancer	Lung Neuroendocrine Tumor	Lung
LNM	Lymphatic Cancer, NOS	Lymphoid Neoplasm	Lymphoid
LPL	Mature B-Cell Neoplasms	Lymphoplasmacytic Lymphoma	Lymphoid
LRCHL	Hodgkin Lymphoma	Lymphocyte-Rich Classical Hodgkin Lymphoma	Lymphoid
LUACC	Non-Small Cell Lung Cancer	Adenoid Cystic Carcinoma of the Lung	Lung
LUAD	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Lung
LUAS	Non-Small Cell Lung Cancer	Lung Adenosquamous Carcinoma	Lung
LUCA	Non-Small Cell Lung Cancer	Lung Carcinoid	Lung
LUMEC	Non-Small Cell Lung Cancer	Mucoepidermoid Carcinoma of the Lung	Lung
LUNE	Non-Small Cell Lung Cancer	Large Cell Neuroendocrine Carcinoma	Lung
LUNG	Lung Cancer, NOS	Lung	Lung
LUPC	Non-Small Cell Lung Cancer	Pleomorphic Carcinoma of the Lung	Lung
LUSC	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	Lung
LXSC	Head and Neck Cancer	Larynx Squamous Cell Carcinoma	Head and Neck
LYG	Mature B-Cell Neoplasms	Lymphomatoid Granulomatosis	Lymphoid
LYMPH	Lymphatic Cancer, NOS	Lymphoid	Lymphoid
LYP	Mature T and NK Neoplasms	Lymphomatoid Papulosis	Lymphoid
MAAP	Appendiceal Cancer	Mucinous Adenocarcinoma of the Appendix	Bowel
MAC	Skin Cancer, Non-Melanoma	Microcystic Adnexal Carcinoma	Skin
MACR	Colorectal Cancer	Mucinous Adenocarcinoma of the Colon and Rectum	Bowel
MAMPCA	Ampullary Carcinoma	Mixed Ampullary Carcinoma	Ampulla of Vater
MASC	Breast Cancer	Metaplastic Adenosquamous Carcinoma	Breast
MASCC	Breast Cancer	Metaplastic Adenocarcinoma with Spindle Cell Differentiation	Breast
MATPL	Blood Cancer, NOS	Myeloid Atypical	Myeloid
MBC	Breast Cancer	Metaplastic Breast Cancer	Breast
MBEN	Embryonal Tumor	Medulloblastoma with Extensive Nodularity	CNS/Brain
MBGN	Blood Cancer, NOS	Myeloid Benign	Myeloid
MBL	Embryonal Tumor	Medulloblastoma	CNS/Brain
MBN	Mature B-Cell Neoplasms	Mature B-Cell Neoplasms	Lymphoid
MBOV	Ovarian Cancer	Mucinous Borderline Ovarian Tumor	Ovary/Fallopian Tube
MBT	Miscellaneous Brain Tumor	Miscellaneous Brain Tumor	CNS/Brain
MCBCL	Mature B-Cell Neoplasms	Monoclonal B-Cell Lymphocytosis	Lymphoid
MCC	Skin Cancer, Non-Melanoma	Merkel Cell Carcinoma	Skin
MCCE	Cervical Cancer	Mixed Cervical Carcinoma	Cervix
MCCHL	Hodgkin Lymphoma	Mixed Cellularity Classical Hodgkin Lymphoma	Lymphoid
MCD	Mastocytosis	Mastocytosis	Myeloid
MCHS	Bone Cancer	Mesenchymal Chondrosarcoma	Bone
MCHSCNS	Miscellaneous Brain Tumor	Mesenchymal Chondrosarcoma of the CNS	CNS/Brain
MCL	Mature B-Cell Neoplasms	Mantle Cell Lymphoma	Lymphoid
MCN	Pancreatic Cancer	Mucinous Cystic Neoplasm	Pancreas
MCS	Breast Cancer	Metaplastic Carcinosarcoma	Breast
MCSL	Mastocytosis	Mast Cell Sarcoma	Myeloid
MDEP	Embryonal Tumor	Medulloepithelioma	CNS/Brain
MDLC	Breast Cancer	Breast Mixed Ductal and Lobular Carcinoma	Breast
MDS	Myelodysplastic Syndromes	Myelodysplastic Syndromes	Myeloid
MDS/MPN	Myelodysplastic/Myeloproliferative Neoplasms	Myelodysplastic/Myeloproliferative Neoplasms	Myeloid
MDSEB	Myelodysplastic Syndromes	MDS with Excess Blasts	Myeloid
MDSEB1	Myelodysplastic Syndromes	MDS with excess blasts-1	Myeloid
MDSEB2	Myelodysplastic Syndromes	MDS with excess blasts-2	Myeloid
MDSID5Q	Myelodysplastic Syndromes	MDS with Isolated Del(5q)	Myeloid
MDSMD	Myelodysplastic Syndromes	MDS with Multilineage Dysplasia	Myeloid
MDSMPNRST	Myelodysplastic/Myeloproliferative Neoplasms	MDS/MPN with Ring Sideroblasts and Thrombocytosis	Myeloid
MDSMPNU	Myelodysplastic/Myeloproliferative Neoplasms	MDS/MPN, Unclassifiable	Myeloid
MDSRS	Myelodysplastic Syndromes	MDS with Ring Sideroblasts	Myeloid
MDSRSMD	Myelodysplastic Syndromes	MDS with Ring Sideroblasts and Multilineage Dysplasia	Myeloid
MDSRSSLD	Myelodysplastic Syndromes	MDS with Ring Sideroblasts and Single Lineage Dysplasia	Myeloid
MDSSLD	Myelodysplastic Syndromes	MDS with Single Lineage Dysplasia	Myeloid
MDSU	Myelodysplastic Syndromes	MDS, Unclassifiable	Myeloid
MEATL	Mature T and NK Neoplasms	Monomorphic Epitheliotropic Intestinal T-Cell Lymphoma	Lymphoid
MEL	Melanoma	Melanoma	Skin
MELC	Melanocytoma	Melanocytoma	CNS/Brain
MF	Soft Tissue Sarcoma	Myofibroma	Soft Tissue
MFH	Soft Tissue Sarcoma	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	Soft Tissue
MFS	Soft Tissue Sarcoma	Myxofibrosarcoma	Soft Tissue
MGCT	Germ Cell Tumor	Mixed Germ Cell Tumor	Testis
MGUS	Mature B-Cell Neoplasms	Monoclonal Gammopathy of Undetermined Significance	Lymphoid
MGUSIGA	Mature B-Cell Neoplasms	IgA	Lymphoid
MGUSIGG	Mature B-Cell Neoplasms	IgG	Lymphoid
MGUSIGM	Mature B-Cell Neoplasms	IgM	Lymphoid
MHCD	Mature B-Cell Neoplasms	Mu Heavy-Chain Disease	Lymphoid
MIDD	Mature B-Cell Neoplasms	Monoclonal Immunoglobulin Deposition Diseases	Lymphoid
MIDDA	Mature B-Cell Neoplasms	Amyloidosis	Lymphoid
MIDDO	Mature B-Cell Neoplasms	Monoclonal Immunoglobulin Deposition Diseases, Other	Lymphoid
MIXED	Cancer of Unknown Primary	Mixed Cancer Types	Other
MLADS	Leukemia	Myeloid Leukemia Associated with Down Syndrome	Myeloid
MLNER	Leukemia	Myeloid/Lymphoid Neoplasms with Eosinophilia and Rearrangement of  PDGFRA/PDGFRB or FGFR1 or with PCM1-JAK2	Myeloid
MLNFGFR1	Leukemia	Myeloid/Lymphoid Neoplasms with FGFR1 Rearrangement	Myeloid
MLNPCM1JAK2	Leukemia	Myeloid/Lymphoid Neoplasms with PCM1-JAK2	Myeloid
MLNPDGFRA	Leukemia	Myeloid/Lymphoid Neoplasms with PDGFRA Rearrangement	Myeloid
MLNPDGFRB	Leukemia	Myeloid/Lymphoid Neoplasms with PDGFRB Rearrangement	Myeloid
MLYM	Miscellaneous Brain Tumor	Malignant Lymphoma	CNS/Brain
MMB	Embryonal Tumor	Medullomyoblastoma	CNS/Brain
MMBC	Breast Cancer	Mixed Type Metaplastic Breast Cancer	Breast
MMBL	Embryonal Tumor	Melanotic Medulloblastoma	CNS/Brain
MNET	Miscellaneous Neuroepithelial Tumor	Miscellaneous Neuroepithelial Tumor	CNS/Brain
MNG	CNS Cancer	Meningioma	CNS/Brain
MNGLP	Myeloid Neoplasms with Germ Line Predisposition	Myeloid Neoplasms with Germ Line Predisposition	Myeloid
MNGT	CNS Cancer	Meningothelial Tumor	CNS/Brain
MNM	Blood Cancer, NOS	Myeloid Neoplasm	Myeloid
MOV	Ovarian Cancer	Mucinous Ovarian Cancer	Ovary/Fallopian Tube
MP	Gestational Trophoblastic Disease	Molar Pregnancy	Uterus
MPALBCRABL1	Leukemia	Mixed Phenotype Acute Leukemia with t(9;22)(q34.1;q11.2); BCR-ABL1	Myeloid
MPALBNOS	Leukemia	Mixed Phenotype Acute Leukemia, B/Myeloid, NOS	Myeloid
MPALKMT2A	Leukemia	Mixed Phenotype Acute Leukemia with t(v;11q23.3); KMT2A Rearranged	Myeloid
MPALTNOS	Leukemia	Mixed Phenotype Acute Leukemia, T/Myeloid, NOS	Myeloid
MPC	Soft Tissue Sarcoma	Myopericytoma	Soft Tissue
MPE	CNS Cancer	Myxopapillary Ependymoma	CNS/Brain
MPN	Myeloproliferative Neoplasms	Myeloproliferative Neoplasms	Myeloid
MPNST	Nerve Sheath Tumor	Malignant Peripheral Nerve Sheath Tumor	Peripheral Nervous System
MPNU	Myeloproliferative Neoplasms	Myeloproliferative Neoplasms, Unclassifiable	Myeloid
MPRDS	Leukemia	Myeloid Proliferations Related to Down Syndrome	Myeloid
MPT	Breast Sarcoma	Malignant Phyllodes Tumor of the Breast	Breast
MPTLD	Posttransplant Lymphoproliferative Disorders	Monomorphic PTLD (B- and T-/NK-cell types)	Lymphoid
MRC	Renal Cell Carcinoma	Renal Medullary Carcinoma	Kidney
MRLS	Soft Tissue Sarcoma	Myxoid/Round-Cell Liposarcoma	Soft Tissue
MRT	Rhabdoid Cancer	Rhabdoid Cancer	Kidney
MS	Leukemia	Myeloid Sarcoma	Myeloid
MSCC	Breast Cancer	Metaplastic Squamous Cell Carcinoma	Breast
MSCHW	Nerve Sheath Tumor	Melanotic Schwannoma	Peripheral Nervous System
MSTAD	Esophagogastric Cancer	Mucinous Stomach Adenocarcinoma	Esophagus/Stomach
MT	Miscellaneous Brain Tumor	Malignant Tumor	CNS/Brain
MTNN	Mature T and NK Neoplasms	Mature T and NK Neoplasms	Lymphoid
MTSCC	Renal Cell Carcinoma	Renal Mucinous Tubular Spindle Cell Carcinoma	Kidney
MUCC	Salivary Gland Cancer	Mucoepidermoid Carcinoma	Head and Neck
MUP	Melanoma	Melanoma of Unknown Primary	Skin
MXOV	Ovarian Cancer	Mixed Ovarian Carcinoma	Ovary/Fallopian Tube
MYCF	Mature T and NK Neoplasms	Mycosis Fungoides	Lymphoid
MYCHS	Bone Cancer	Myxoid Chondrosarcoma	Bone
MYEC	Salivary Gland Cancer	Myoepithelial Carcinoma	Head and Neck
MYELOID	Blood Cancer, NOS	Myeloid	Myeloid
MYXO	Soft Tissue Sarcoma	Myxoma	Soft Tissue
MZL	Mature B-Cell Neoplasms	Marginal Zone Lymphoma	Lymphoid
NBL	Peripheral Nervous System	Neuroblastoma	Peripheral Nervous System
NCCRCC	Renal Cell Carcinoma	Renal Non-Clear Cell Carcinoma	Kidney
NECNOS	Cancer of Unknown Primary	Neuroendocrine Carcinoma, NOS	Other
NETNOS	Cancer of Unknown Primary	Neuroendocrine Tumor, NOS	Other
NFIB	Nerve Sheath Tumor	Neurofibroma	Peripheral Nervous System
NHL	Non-Hodgkin Lymphoma	Non-Hodgkin Lymphoma	Lymphoid
NKCLL	T-Lymphoblastic Leukemia/Lymphoma	Natural Killer (NK) Cell Lymphoblastic Leukemia/Lymphoma	Lymphoid
NLPHL	Hodgkin Lymphoma	Nodular Lymphocyte-Predominant Hodgkin Lymphoma	Lymphoid
NMCHN	Head and Neck Cancer	NUT Midline Carcinoma of the Head and Neck	Head and Neck
NMZL	Mature B-Cell Neoplasms	Nodal Marginal Zone Lymphoma	Lymphoid
NPC	Head and Neck Cancer	Nasopharyngeal Carcinoma	Head and Neck
NPTLTFH	Mature T and NK Neoplasms	Nodal Peripheral T-Cell Lymphoma with TFH Phenotype	Lymphoid
NSCHL	Hodgkin Lymphoma	Nodular Sclerosis Classical Hodgkin Lymphoma	Lymphoid
NSCLC	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	Lung
NSCLCPD	Non-Small Cell Lung Cancer	Poorly Differentiated Non-Small Cell Lung Cancer	Lung
NSGCT	Germ Cell Tumor	Non-Seminomatous Germ Cell Tumor	Testis
NST	Nerve Sheath Tumor	Nerve Sheath Tumor	Peripheral Nervous System
OAST	Glioma	Oligoastrocytoma	CNS/Brain
OAT	Thyroid Cancer	Oncocytic Adenoma of the Thyroid	Thyroid
OCNOS	Ovarian Cancer	Ovarian Choriocarcinoma, NOS	Ovary/Fallopian Tube
OCS	Ovarian Cancer	Ovarian Carcinosarcoma/Malignant Mixed Mesodermal Tumor	Ovary/Fallopian Tube
OCSC	Head and Neck Cancer	Oral Cavity Squamous Cell Carcinoma	Head and Neck
ODG	Glioma	Oligodendroglioma	CNS/Brain
ODGC	Head and Neck Cancer	Odontogenic Carcinoma	Head and Neck
ODYS	Germ Cell Tumor	Dysgerminoma	Ovary/Fallopian Tube
OEC	Germ Cell Tumor	Embryonal Carcinoma	Ovary/Fallopian Tube
OFMT	Soft Tissue Sarcoma	Ossifying Fibromyxoid Tumor	Soft Tissue
OGBL	Sex Cord Stromal Tumor	Gonadoblastoma	Ovary/Fallopian Tube
OGCT	Germ Cell Tumor	Ovarian Germ Cell Tumor	Ovary/Fallopian Tube
OHNCA	Head and Neck Cancer	Head and Neck Carcinoma, Other	Head and Neck
OIMT	Germ Cell Tumor	Immature Teratoma	Ovary/Fallopian Tube
OM	Melanoma	Ocular Melanoma	Eye
OMGCT	Germ Cell Tumor	Mixed Germ Cell Tumor	Ovary/Fallopian Tube
OMT	Germ Cell Tumor	Mature Teratoma	Ovary/Fallopian Tube
ONBL	Embryonal Tumor	Olfactory Neuroblastoma	CNS/Brain
OOVC	Ovarian Cancer	Ovarian Cancer, Other	Ovary/Fallopian Tube
OPE	Germ Cell Tumor	Polyembryoma	Ovary/Fallopian Tube
OPHSC	Head and Neck Cancer	Oropharynx Squamous Cell Carcinoma	Head and Neck
OS	Bone Cancer	Osteosarcoma	Bone
OSACA	Salivary Gland Cancer	Salivary Carcinoma, Other	Head and Neck
OSGCT	Pancreatic Cancer	Osteoclastic Giant Cell Tumor	Pancreas
OSMAD	Ovarian Cancer	Ovarian Seromucinous Adenoma	Ovary/Fallopian Tube
OSMBT	Ovarian Cancer	Ovarian Seromucinous Borderline Tumor	Ovary/Fallopian Tube
OSMCA	Ovarian Cancer	Ovarian Seromucinous Carcinoma	Ovary/Fallopian Tube
OSOS	Bone Cancer	Osteoblastic Osteosarcoma	Bone
OTHER	Other Cancer, NOS	Other	Other
OUSARC	Uterine Sarcoma	Uterine Sarcoma, Other	Uterus
OUTT	Endometrial Cancer	Other Uterine Tumor	Uterus
OVARY	Ovarian/Fallopian Tube Cancer, NOS	Ovary/Fallopian Tube	Ovary/Fallopian Tube
OVT	Ovarian Cancer	Ovarian Epithelial Tumor	Ovary/Fallopian Tube
OYST	Germ Cell Tumor	Yolk Sac Tumor	Ovary/Fallopian Tube
PAAC	Pancreatic Cancer	Acinar Cell Carcinoma of the Pancreas	Pancreas
PAAD	Pancreatic Cancer	Pancreatic Adenocarcinoma	Pancreas
PAASC	Pancreatic Cancer	Adenosquamous Carcinoma of the Pancreas	Pancreas
PACT	Pancreatic Cancer	Cystic Tumor of the Pancreas	Pancreas
PAMPCA	Ampullary Carcinoma	Pancreatobiliary Ampullary Carcinoma	Ampulla of Vater
PANCREAS	Pancreatic Cancer, NOS	Pancreas	Pancreas
PANET	Pancreatic Cancer	Pancreatic Neuroendocrine Tumor	Pancreas
PAOS	Bone Cancer	Parosteal Osteosarcoma	Bone
PAST	Glioma	Pilocytic Astrocytoma	CNS/Brain
PB	Pancreatic Cancer	Pancreatoblastoma	Pancreas
PBL	Pineal Tumor	Pineoblastoma	CNS/Brain
PBS	Breast Sarcoma	Breast Sarcoma	Breast
PBT	Miscellaneous Brain Tumor	Primary Brain Tumor	CNS/Brain
PCAECTCL	Mature T and NK Neoplasms	Primary Cutaneous CD8 Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma	Lymphoid
PCALCL	Mature T and NK Neoplasms	Primary Cutaneous Anaplastic Large Cell Lymphoma	Lymphoid
PCATCL	Mature T and NK Neoplasms	Primary Cutaneous Acral CD8 Positive T-Cell Lymphoma	Lymphoid
PCFCL	Mature B-Cell Neoplasms	Primary Cutaneous Follicle Center Lymphoma	Lymphoid
PCGDTCL	Mature T and NK Neoplasms	Primary Cutaneous Gamma Delta T-Cell Lymphoma	Lymphoid
PCGP	Sellar Tumor	Craniopharyngioma, Papillary Type	CNS/Brain
PCLBCLLT	Mature B-Cell Neoplasms	Primary Cutaneous DLBCL, Leg Type	Lymphoid
PCLPD	Mature T and NK Neoplasms	Primary Cutaneous CD30 Positive T-Cell Lymphoproliferative Disorders	Lymphoid
PCM	Mature B-Cell Neoplasms	Plasma Cell Myeloma	Lymphoid
PCNSL	Mature B-Cell Neoplasms	Primary DLBCL of the central nervous system	Lymphoid
PCNSM	Melanoma	Primary CNS Melanoma	CNS/Brain
PCNSMT	Primary CNS Melanocytic Tumors	Primary CNS Melanocytic Tumors	CNS/Brain
PCSMTPLD	Mature T and NK Neoplasms	Primary Cutaneous CD4 Positive Small/Medium T-Cell Lymphoproliferative Disorder	Lymphoid
PCT	Skin Cancer, Non-Melanoma	Porphyria Cutania Tarda	Skin
PD	Breast Cancer	Paget Disease of the Nipple	Breast
PDC	Cancer of Unknown Primary	Poorly Differentiated Carcinoma, NOS	Other
PECOMA	Soft Tissue Sarcoma	Perivascular Epithelioid Cell Tumor	Soft Tissue
PEL	Mature B-Cell Neoplasms	Primary Effusion Lymphoma	Lymphoid
PEMESO	Mesothelioma	Peritoneal Mesothelioma	Peritoneum
PENIS	Penile Cancer, NOS	Penis	Penis
PEOS	Bone Cancer	Periosteal Osteosarcoma	Bone
PERITONEUM	Peritoneal Cancer, NOS	Peritoneum	Peritoneum
PERL	Leukemia	Pure Erythroid Leukemia	Myeloid
PGNG	Miscellaneous Neuroepithelial Tumor	Paraganglioma	Soft Tissue
PGNT	Miscellaneous Neuroepithelial Tumor	Papillary Glioneuronal Tumor	CNS/Brain
PHC	Pheochromocytoma	Pheochromocytoma	Adrenal Gland
PHCH	Hepatobiliary Cancer	Perihilar Cholangiocarcinoma	Biliary Tract
PHM	Gestational Trophoblastic Disease	Partial Hydatidiform Mole	Uterus
PHPTLD	Posttransplant Lymphoproliferative Disorders	Plasmacytic Hyperplasia PTLD	Lymphoid
PINC	Pineal Tumor	Pineocytoma	CNS/Brain
PINT	Pineal Tumor	Pineal Tumor	CNS/Brain
PLBL	Mature B-Cell Neoplasms	Plasmablastic Lymphoma	Lymphoid
PLBMESO	Mesothelioma	Pleural Mesothelioma, Biphasic Type	Pleura
PLEMESO	Mesothelioma	Pleural Mesothelioma, Epithelioid Type	Pleura
PLEURA	Pleural Cancer, NOS	Pleura	Pleura
PLLS	Soft Tissue Sarcoma	Pleomorphic Liposarcoma	Soft Tissue
PLMESO	Mesothelioma	Pleural Mesothelioma	Pleura
PLRMS	Soft Tissue Sarcoma	Pleomorphic Rhabdomyosarcoma	Soft Tissue
PLSMESO	Mesothelioma	Pleural Mesothelioma, Sarcomatoid Type	Pleura
PMA	Glioma	Pilomyxoid Astrocytoma	CNS/Brain
PMBL	Mature B-Cell Neoplasms	Primary Mediastinal (Thymic) Large B-Cell Lymphoma	Lymphoid
PMF	Myeloproliferative Neoplasms	Primary Myelofibrosis	Myeloid
PMFOFS	Myeloproliferative Neoplasms	Primary Myelofibrosis,Overt Fibrotic Stage	Myeloid
PMFPES	Myeloproliferative Neoplasms	Primary Myelofibrosis, Prefibrotic/Early Stage	Myeloid
PMHE	Soft Tissue Sarcoma	Pseudomyogenic Hemangioendothelioma	Soft Tissue
PNET	Embryonal Tumor	Primitive Neuroectodermal Tumor	CNS/Brain
PNS	Peripheral Nervous System Cancer, NOS	Peripheral Nervous System	Peripheral Nervous System
POCA	Skin Cancer, Non-Melanoma	Porocarcinoma/Spiroadenocarcinoma	Skin
PORO	Skin Cancer, Non-Melanoma	Poroma/Acrospiroma	Skin
PPB	Non-Small Cell Lung Cancer	Pleuropulmonary Blastoma	Lung
PPCT	Skin Cancer, Non-Melanoma	Proliferating Pilar Cystic Tumor	Skin
PPM	CNS Cancer	Papillary Meningioma	CNS/Brain
PPTID	Pineal Tumor	Pineal Parenchymal Tumor of Intermediate Differentiation	CNS/Brain
PPTLD	Posttransplant Lymphoproliferative Disorders	Polymorphic PTLD	Lymphoid
PRAD	Prostate Cancer	Prostate Adenocarcinoma	Prostate
PRCC	Renal Cell Carcinoma	Papillary Renal Cell Carcinoma	Kidney
PRNE	Prostate Cancer	Prostate Neuroendocrine Carcinoma	Prostate
PRNET	Miscellaneous Brain Tumor	Primary Neuroepithelial Tumor	CNS/Brain
PROSTATE	Prostate Cancer, NOS	Prostate	Prostate
PRSC	Prostate Cancer	Prostate Squamous Cell Carcinoma	Prostate
PRSCC	Prostate Cancer	Prostate Small Cell Carcinoma	Prostate
PSC	Pancreatic Cancer	Serous Cystadenoma of the Pancreas	Pancreas
PSCC	Penile Cancer	Penile Squamous Cell Carcinoma	Penis
PSEC	Peritoneal Cancer, NOS	Peritoneal Serous Carcinoma	Peritoneum
PSTAD	Esophagogastric Cancer	Papillary Stomach Adenocarcinoma	Esophagus/Stomach
PSTT	Gestational Trophoblastic Disease	Placental Site Trophoblastic Tumor	Uterus
PT	Breast Sarcoma	Phyllodes Tumor of the Breast	Breast
PTAD	Sellar Tumor	Pituitary Adenoma	CNS/Brain
PTCA	Sellar Tumor	Pituitary Carcinoma	CNS/Brain
PTCL	Mature T and NK Neoplasms	Peripheral T-Cell lymphoma, NOS	Lymphoid
PTCY	Sellar Tumor	Pituicytoma	CNS/Brain
PTES	Soft Tissue Sarcoma	Proximal-Type Epithelioid Sarcoma	Soft Tissue
PTFL	Mature B-Cell Neoplasms	Pediatric-Type Follicular Lymphoma	Lymphoid
PTH	Parathyroid Cancer	Parathyroid Cancer	Head and Neck
PTHC	Parathyroid Cancer	Parathyroid Carcinoma	Head and Neck
PTLD	Posttransplant Lymphoproliferative Disorders	Posttransplant Lymphoproliferative Disorders	Lymphoid
PTPR	Pineal Tumor	Papillary Tumor of the Pineal Region	CNS/Brain
PV	Myeloproliferative Neoplasms	Polycythemia Vera	Myeloid
PVMF	Myeloproliferative Neoplasms	Polycythaemia Vera Myelofibrosis	Myeloid
PXA	Glioma	Pleomorphic Xanthoastrocytoma	CNS/Brain
RAML	Renal Cell Carcinoma	Renal Angiomyolipoma	Kidney
RAS	Soft Tissue Sarcoma	Radiation-Associated Sarcoma	Soft Tissue
RBL	Retinoblastoma	Retinoblastoma	Eye
RCC	Renal Cell Carcinoma	Renal Cell Carcinoma	Kidney
RCSNOS	Soft Tissue Sarcoma	Round Cell Sarcoma, NOS	Soft Tissue
RCYC	Myelodysplastic Syndromes	Refractory Cytopenia of Childhood	Myeloid
RDD	Histiocytic Disorder	Rosai-Dorfman Disease	Lymphoid
READ	Colorectal Cancer	Rectal Adenocarcinoma	Bowel
RGNT	Miscellaneous Neuroepithelial Tumor	Rosette-forming Glioneuronal Tumor of the Fourth Ventricle	CNS/Brain
RHM	CNS Cancer	Rhabdoid Meningioma	CNS/Brain
RLCLC	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma With Rhabdoid Phenotype	Lung
RMS	Soft Tissue Sarcoma	Rhabdomyosarcoma	Soft Tissue
RNET	Renal Neuroendocrine Tumor	Renal Neuroendocrine Tumor	Kidney
ROCY	Renal Cell Carcinoma	Renal Oncocytoma	Kidney
RSCC	Renal Cell Carcinoma	Renal Small Cell Carcinoma	Kidney
RWDNET	Gastrointestinal Neuroendocrine Tumor	Well-Differentiated Neuroendocrine Tumor of the Rectum	Bowel
SAAD	Salivary Gland Cancer	Salivary Adenocarcinoma	Head and Neck
SACA	Salivary Gland Cancer	Salivary Carcinoma	Head and Neck
SARCL	Non-Small Cell Lung Cancer	Sarcomatoid Carcinoma of the Lung	Lung
SARCNOS	Soft Tissue Sarcoma	Sarcoma, NOS	Soft Tissue
SBC	Small Bowel Cancer	Small Bowel Cancer	Bowel
